time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-02-20T23:23:46.503Z,6.8279,-72.984,154.592,4.5,mb,45,82,0.935,0.7,us,us7000m0g8,2024-02-20T23:38:38.040Z,"8 km N of Cepitá, Colombia",earthquake,7.94,6.437,0.051,115,reviewed,us,us
2024-02-20T18:27:49.281Z,-17.0247,-174.2395,113.9,4.8,mb,82,54,3.9,1.38,us,us7000m0ef,2024-02-20T18:52:26.040Z,"127 km SSW of Hihifo, Tonga",earthquake,7.93,6.156,0.039,214,reviewed,us,us
2024-02-20T17:32:58.920Z,-24.0159,178.624,570.389,4.8,mb,52,82,6.071,1.08,us,us7000m0e9,2024-02-20T17:51:13.040Z,"south of the Fiji Islands",earthquake,12.6,9.188,0.071,62,reviewed,us,us
2024-02-20T15:12:29.971Z,23.7356,123.2931,28.087,4.6,mb,77,81,0.772,1.29,us,us7000m0cc,2024-02-20T17:15:38.040Z,"86 km SSE of Yonakuni, Japan",earthquake,4.08,5.041,0.075,61,reviewed,us,us
2024-02-20T14:57:30.542Z,23.7363,123.3047,20.38,5,mww,168,73,0.775,0.73,us,us7000m0cb,2024-02-21T18:47:41.049Z,"86 km SSE of Yonakuni, Japan",earthquake,4.82,4.051,0.061,26,reviewed,us,us
2024-02-20T14:18:17.068Z,23.9688,122.479,27.107,4.5,mww,111,58,0.695,0.85,us,us7000m0c9,2024-02-21T18:09:54.040Z,"76 km SW of Yonakuni, Japan",earthquake,4.79,4.276,0.098,10,reviewed,us,us
2024-02-20T13:56:26.617Z,23.7414,123.2718,18.971,4.8,mww,182,29,0.761,0.78,us,us7000m0c7,2024-02-21T18:01:38.040Z,"84 km SSE of Yonakuni, Japan",earthquake,4.16,2.464,0.061,26,reviewed,us,us
2024-02-20T10:58:10.579Z,42.8352,94.2311,10,5.1,mb,85,33,8.074,0.51,us,us7000m0bs,2024-02-20T11:15:53.040Z,"59 km E of Hami, China",earthquake,3.63,1.857,0.057,101,reviewed,us,us
2024-02-20T03:46:53.607Z,-3.5023,139.678,64.246,4.5,mb,32,94,1.418,0.49,us,us7000m0ah,2024-02-23T03:59:31.040Z,"145 km SW of Abepura, Indonesia",earthquake,11.03,7.371,0.106,26,reviewed,us,us
2024-02-20T01:38:03.611Z,6.7607,-73.1301,159.5,4.6,mb,60,71,0.864,0.9,us,us7000m0a2,2024-02-23T03:32:42.873Z,"4 km NW of Jordán, Colombia",earthquake,7.54,6.505,0.032,298,reviewed,us,us
2024-02-19T23:26:20.735Z,-0.1466,-88.412,10,5.1,mww,102,144,8.572,1.31,us,us7000m096,2024-02-20T12:33:28.635Z,"157 km ENE of Puerto Baquerizo Moreno, Ecuador",earthquake,9.74,1.882,0.078,16,reviewed,us,us
2024-02-19T19:21:46.173Z,21.686,144.4536,125.398,4.7,mb,41,129,18.801,0.74,us,us7000m08f,2024-02-19T21:51:13.040Z,"Mariana Islands region",earthquake,14.17,8.151,0.067,68,reviewed,us,us
2024-02-19T18:01:51.012Z,-57.1312,-25.2598,26.09,5.1,mb,68,44,6.956,1,us,us7000m083,2024-02-19T18:27:50.040Z,"South Sandwich Islands region",earthquake,10.74,5.309,0.077,63,reviewed,us,us
2024-02-19T17:07:49.252Z,-29.361,-179.1193,346.735,4.7,mb,88,42,1.046,1.1,us,us7000m07u,2024-02-19T17:39:44.040Z,"Kermadec Islands region",earthquake,12.48,3.383,0.075,62,reviewed,us,us
2024-02-19T16:23:21.605Z,-9.3637,-78.7758,55.768,5.1,mb,130,144,3.226,1.06,us,us7000m06g,2024-02-19T17:29:47.469Z,"37 km SSW of Chimbote, Peru",earthquake,8.31,6.56,0.033,298,reviewed,us,us
2024-02-19T16:05:19.706Z,35.4287,74.7565,44.755,5.2,mb,85,78,4.676,0.74,us,us7000m06b,2024-02-20T19:31:57.364Z,"67 km SE of Gilgit, Pakistan",earthquake,8.49,6.159,0.045,164,reviewed,us,us
2024-02-19T15:27:11.681Z,-11.5411,166.3658,67.231,4.6,mb,49,63,6.649,0.44,us,us7000m068,2024-02-19T15:55:19.040Z,"109 km SE of Lata, Solomon Islands",earthquake,10.58,7.035,0.087,42,reviewed,us,us
2024-02-19T15:08:54.765Z,-7.2151,129.3124,141.626,5,mb,43,81,2.739,0.72,us,us7000m063,2024-02-19T15:24:51.040Z,"293 km ENE of Lospalos, Timor Leste",earthquake,8.73,1.005,0.073,61,reviewed,us,us
2024-02-19T08:51:16.228Z,-6.5102,-76.2294,106.456,5.1,mww,97,116,4.824,0.89,us,us7000m053,2024-02-19T17:03:05.533Z,"12 km WNW of Chazuta, Peru",earthquake,8.72,6.525,0.075,17,reviewed,us,us
2024-02-19T08:47:40.941Z,-4.784,153.2469,59.912,5.1,mb,91,43,1.23,0.56,us,us7000m051,2024-02-19T09:07:45.040Z,"118 km ESE of Kokopo, Papua New Guinea",earthquake,9.26,5.988,0.053,115,reviewed,us,us
2024-02-19T06:23:22.173Z,-12.9679,-75.1213,93.914,4.9,mb,53,64,1.943,0.71,us,us7000m048,2024-02-20T16:17:04.732Z,"9 km N of Santa Ana, Peru",earthquake,10.39,9.244,0.057,96,reviewed,us,us
2024-02-19T03:08:15.740Z,42.0178,84.1101,10,4.6,mb,51,81,3.653,0.76,us,us7000m03m,2024-02-23T02:32:31.040Z,"103 km ENE of Kuqa, China",earthquake,7.17,1.894,0.075,53,reviewed,us,us
2024-02-18T23:53:11.034Z,-16.8808,-174.1611,128.373,4.6,mb,44,54,3.741,1.26,us,us7000m036,2024-02-19T00:09:22.040Z,"109 km SSW of Hihifo, Tonga",earthquake,8.75,7.048,0.064,73,reviewed,us,us
2024-02-18T18:22:46.659Z,18.9001,121.0078,29.539,4.7,mb,49,116,3.899,0.54,us,us7000m01t,2024-02-18T20:45:34.438Z,"33 km NNW of Claveria, Philippines",earthquake,10.55,4.797,0.086,41,reviewed,us,us
2024-02-18T11:48:10.535Z,9.2951,125.8033,131.826,4.5,mb,63,98,2.222,0.61,us,us7000m00g,2024-02-18T12:52:19.040Z,"14 km WSW of Panikian, Philippines",earthquake,6.95,7.223,0.072,56,reviewed,us,us
2024-02-18T11:20:32.104Z,36.5909,66.8155,10,5,mb,101,84,3.567,0.66,us,us7000m003,2024-02-18T14:17:38.504Z,"19 km SSW of Balkh, Afghanistan",earthquake,5.43,1.812,0.059,90,reviewed,us,us
2024-02-18T07:29:19.059Z,-16.0685,-174.6379,212.326,5.6,mww,70,48,3.496,1.08,us,us7000lzz2,2024-02-22T20:10:04.418Z,"90 km W of Hihifo, Tonga",earthquake,8.57,6.411,0.083,14,reviewed,us,us
